Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk
Precious Achiuwa,C,24,TOR,14,0,254,41,95,0.432,6,23,0.261,35,72,0.486,0.463,14,25,0.56,32,54,86,28,8,6,18,25,102,1
Bam Adebayo,C,26,MIA,16,16,537,132,253,0.522,1,3,0.333,131,250,0.524,0.524,91,112,0.813,33,126,159,62,19,16,39,39,356,2
Ochai Agbaji,SG,23,UTA,19,7,376,41,92,0.446,23,59,0.39,18,33,0.545,0.571,4,6,0.667,18,34,52,22,12,12,13,27,109,3
Santi Aldama,PF,23,MEM,12,4,323,69,149,0.463,22,68,0.324,47,81,0.58,0.537,14,23,0.609,19,56,75,24,7,8,15,19,174,4
Nickeil Alexander-Walker,SG,25,MIN,18,7,417,46,112,0.411,26,73,0.356,20,39,0.513,0.527,3,9,0.333,8,31,39,49,18,14,19,36,121,5
Grayson Allen,SG,28,PHO,17,17,557,71,144,0.493,39,84,0.464,32,60,0.533,0.628,23,27,0.852,13,68,81,49,10,7,26,41,204,6
Jarrett Allen,C,25,CLE,14,14,406,75,111,0.676,0,0,,75,111,0.676,0.676,38,50,0.76,43,67,110,32,7,17,24,38,188,7
Jose Alvarado,PG,25,NOP,6,0,96,16,39,0.41,7,19,0.368,9,20,0.45,0.5,2,6,0.333,4,9,13,12,7,1,6,9,41,8
Kyle Anderson,PF,30,MIN,18,0,433,51,100,0.51,2,12,0.167,49,88,0.557,0.52,23,37,0.622,13,53,66,72,14,15,29,25,127,9
Giannis Antetokounmpo,PF,29,MIL,18,18,616,205,341,0.601,8,34,0.235,197,307,0.642,0.613,119,183,0.65,51,143,194,84,24,25,74,58,537,10
Thanasis Antetokounmpo,PF,31,MIL,7,0,44,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,2,2,4,4,1,1,4,7,6,11
Cole Anthony,PG,23,ORL,19,0,484,90,205,0.439,27,72,0.375,63,133,0.474,0.505,77,91,0.846,22,64,86,70,15,9,40,57,284,12
Ryan Arcidiacono,PG,29,NYK,5,0,11,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,2,2,0,0,0,0,0,0,14
Deni Avdija,SF,23,WAS,19,19,506,92,175,0.526,20,52,0.385,72,123,0.585,0.583,29,35,0.829,25,75,100,70,17,5,27,44,233,15
Deandre Ayton,C,25,POR,17,17,539,104,176,0.591,0,0,,104,176,0.591,0.591,15,19,0.789,55,128,183,28,22,13,35,43,223,16
Marvin Bagley III,C,24,DET,18,6,336,73,126,0.579,1,5,0.2,72,121,0.595,0.583,40,46,0.87,34,54,88,23,1,12,22,28,187,18
Patrick Baldwin Jr.,SF,21,WAS,3,0,11,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,0,1,0,20
LaMelo Ball,PG,22,CHO,15,15,501,132,298,0.443,52,134,0.388,80,164,0.488,0.53,54,63,0.857,23,59,82,123,21,4,59,52,370,21
Mo Bamba,C,25,PHI,9,0,57,13,24,0.542,3,7,0.429,10,17,0.588,0.604,6,8,0.75,12,9,21,1,1,7,6,7,35,22
Paolo Banchero,PF,21,ORL,19,19,634,135,278,0.486,27,59,0.458,108,219,0.493,0.534,74,112,0.661,26,101,127,89,20,11,61,43,371,23
Desmond Bane,SG,25,MEM,18,18,616,154,345,0.446,59,162,0.364,95,183,0.519,0.532,58,68,0.853,17,64,81,94,24,12,50,54,425,24
Dalano Banton,PG,24,BOS,9,1,80,13,26,0.5,1,7,0.143,12,19,0.632,0.519,5,6,0.833,9,12,21,4,2,2,2,11,32,25
Harrison Barnes,PF,31,SAC,17,17,533,70,147,0.476,32,85,0.376,38,62,0.613,0.585,38,45,0.844,12,43,55,27,14,2,14,20,210,27
Scottie Barnes,SG,22,TOR,20,20,696,146,313,0.466,39,102,0.382,107,211,0.507,0.529,61,79,0.772,53,128,181,109,36,26,46,42,392,28
RJ Barrett,SG,23,NYK,14,14,410,88,209,0.421,28,72,0.389,60,137,0.438,0.488,56,67,0.836,7,44,51,38,7,3,28,22,260,29
Charles Bassey,C,23,SAS,19,0,205,29,40,0.725,0,1,0.0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63,30
Keita Bates-Diop,SF,28,PHO,16,7,314,32,78,0.41,8,30,0.267,24,48,0.5,0.462,22,29,0.759,18,37,55,15,11,14,3,19,94,32
