NAME,SALARY,TEAM,RK
Stephen Curry,51915615,Golden State Warriors,1
Kevin Durant,47649433,Phoenix Suns,2
LeBron James,47607350,Los Angeles Lakers,3
Nikola Jokic,47607350,Denver Nuggets,3
Joel Embiid,46900000,Philadelphia 76ers,5
Bradley Beal,46741590,Phoenix Suns,6
Kawhi Leonard,45640084,LA Clippers,8
Damian Lillard,45640084,Milwaukee Bucks,8
Giannis Antetokounmpo,45640084,Milwaukee Bucks,8
Paul George,45640084,LA Clippers,8
Jimmy Butler,45183960,Miami Heat,11
Klay Thompson,43219440,Golden State Warriors,12
Rudy Gobert,41000000,Minnesota Timberwolves,13
Fred VanVleet,40806300,Houston Rockets,14
Anthony Davis,40600080,Los Angeles Lakers,15
Zach LaVine,40064220,Chicago Bulls,17
Trae Young,40064220,Atlanta Hawks,17
Luka Doncic,40064220,Dallas Mavericks,17
Tobias Harris,39270150,Philadelphia 76ers,19
Pascal Siakam,37893408,Toronto Raptors,20
Ben Simmons,37893408,Brooklyn Nets,20
Kyrie Irving,37037037,Dallas Mavericks,22
Jrue Holiday,36861707,Boston Celtics,23
Karl-Anthony Towns,36016200,Minnesota Timberwolves,25
Devin Booker,36016200,Phoenix Suns,25
Kristaps Porzingis,36016200,Boston Celtics,25
CJ McCollum,35802469,New Orleans Pelicans,27
James Harden,35640000,LA Clippers,28
Zion Williamson,34005250,New Orleans Pelicans,30
Ja Morant,34005250,Memphis Grizzlies,30
Darius Garland,34005250,Cleveland Cavaliers,30
Brandon Ingram,33833400,New Orleans Pelicans,32
Jamal Murray,33833400,Denver Nuggets,32
Shai Gilgeous-Alexander,33386850,Oklahoma City Thunder,34
Michael Porter Jr.,33386850,Denver Nuggets,34
Donovan Mitchell,33162030,Cleveland Cavaliers,36
Bam Adebayo,32600060,Miami Heat,38
De'Aaron Fox,32600060,Sacramento Kings,38
Jayson Tatum,32600060,Boston Celtics,38
Deandre Ayton,32459438,Portland Trail Blazers,40
Jaylen Brown,31830357,Boston Celtics,41
Gordon Hayward,31500000,Charlotte Hornets,42
Chris Paul,30800000,Golden State Warriors,43
Domantas Sabonis,30600000,Sacramento Kings,44
Kyle Lowry,29682540,Miami Heat,45
Khris Middleton,29320988,Milwaukee Bucks,46
DeMar DeRozan,28600000,Chicago Bulls,47
Julius Randle,28226880,New York Knicks,48
Jordan Poole,27955357,Washington Wizards,49
Jerami Grant,27586207,Portland Trail Blazers,50
Jaren Jackson Jr.,27102202,Memphis Grizzlies,51
Tyler Herro,27000000,Miami Heat,52
Jalen Brunson,26346666,New York Knicks,53
Cameron Johnson,25679348,Brooklyn Nets,54
Kyle Kuzma,25568182,Washington Wizards,55
John Collins,25340000,Utah Jazz,56
Brook Lopez,25000000,Milwaukee Bucks,57
Mike Conley,24360000,Minnesota Timberwolves,58
Andrew Wiggins,24330357,Golden State Warriors,59
Anfernee Simons,24107143,Portland Trail Blazers,60
RJ Barrett,23883929,New York Knicks,61
Jordan Clarkson,23487629,Utah Jazz,62
Dillon Brooks,22627671,Houston Rockets,63
Malcolm Brogdon,22500000,Portland Trail Blazers,64
Draymond Green,22321429,Golden State Warriors,65
Aaron Gordon,22266182,Denver Nuggets,66
Terry Rozier,22205221,Charlotte Hornets,67
Bruce Brown,22000000,Indiana Pacers,68
Mikal Bridges,21700000,Brooklyn Nets,69
Myles Turner,20975000,Indiana Pacers,70
Clint Capela,20616000,Atlanta Hawks,71
Lonzo Ball,20465117,Chicago Bulls,72
Spencer Dinwiddie,20357143,Brooklyn Nets,73
De'Andre Hunter,20089286,Atlanta Hawks,74
Keldon Johnson,20000000,San Antonio Spurs,76
Bojan Bogdanovic,20000000,Detroit Pistons,76
Jarrett Allen,20000000,Cleveland Cavaliers,76
Joe Harris,19928571,Detroit Pistons,78
Jakob Poeltl,19500000,Toronto Raptors,79
Buddy Hield,19279841,Indiana Pacers,80
Evan Fournier,18857143,New York Knicks,81
Marcus Smart,18833712,Memphis Grizzlies,82
Bogdan Bogdanovic,18700000,Atlanta Hawks,83
O.G. Anunoby,18642857,Toronto Raptors,84
Gary Trent Jr.,18560000,Toronto Raptors,85
Nikola Vucevic,18518519,Chicago Bulls,86
Derrick White,18357143,Boston Celtics,87
Dejounte Murray,18214000,Atlanta Hawks,88
Duncan Robinson,18154000,Miami Heat,89
Norman Powell,18000000,LA Clippers,90
Tim Hardaway Jr.,17897728,Dallas Mavericks,91
Jonathan Isaac,17400000,Orlando Magic,92
Collin Sexton,17325000,Utah Jazz,93
D'Angelo Russell,17307693,Los Angeles Lakers,94
Lauri Markkanen,17259999,Utah Jazz,95
Marcus Morris Sr.,17116279,Philadelphia 76ers,96
Markelle Fultz,17000000,Orlando Magic,98
Davis Bertans,17000000,Oklahoma City Thunder,98
Harrison Barnes,17000000,Sacramento Kings,98
Jusuf Nurkic,16875000,Phoenix Suns,100
P.J. Washington,16847826,Charlotte Hornets,101
Kevin Porter Jr.,15860000,Oklahoma City Thunder,102
Rui Hachimura,15740741,Los Angeles Lakers,103
Mitchell Robinson,15681818,New York Knicks,104
Kevin Huerter,15669643,Sacramento Kings,105
Jonas Valanciunas,15435000,New Orleans Pelicans,106
Luke Kennard,15418363,Memphis Grizzlies,107
Caris LeVert,15384616,Cleveland Cavaliers,108
Luguentz Dort,15277778,Oklahoma City Thunder,109
Kentavious Caldwell-Pope,14704938,Denver Nuggets,110
Max Strus,14487684,Cleveland Cavaliers,111
Tyus Jones,14000000,Washington Wizards,112
Dorian Finney-Smith,13932008,Brooklyn Nets,113
Doug McDermott,13750000,San Antonio Spurs,114
Wendell Carter Jr.,13050000,Orlando Magic,115
Gary Harris,13000000,Orlando Magic,116
Josh Hart,12960000,New York Knicks,117
Naz Reid,12950400,Minnesota Timberwolves,118
Steven Adams,12600000,Memphis Grizzlies,119
Marvin Bagley III,12500000,Detroit Pistons,120
Brandon Clarke,12500000,Memphis Grizzlies,120
Dennis Schroder,12405000,Toronto Raptors,122
Daniel Gafford,12402000,Washington Wizards,123
Grant Williams,12325581,Dallas Mavericks,124
Kelly Olynyk,12195122,Utah Jazz,125
Victor Wembanyama,12160680,San Antonio Spurs,126
James Wiseman,12119400,Detroit Pistons,127
Devonte' Graham,12100000,San Antonio Spurs,128
Richaun Holmes,12046020,Dallas Mavericks,129
Austin Reaves,12015150,Los Angeles Lakers,130
Herbert Jones,12015150,New Orleans Pelicans,130
Chris Boucher,11750000,Toronto Raptors,132
Nicolas Batum,11710818,Philadelphia 76ers,133
Bobby Portis,11710818,Milwaukee Bucks,133
Robert Covington,11692308,Philadelphia 76ers,135
Paolo Banchero,11608080,Orlando Magic,136
Robert Williams III,11571429,Portland Trail Blazers,137
Coby White,11111111,Chicago Bulls,138
Cade Cunningham,11055240,Detroit Pistons,139
Talen Horton-Tucker,11020000,Utah Jazz,140
P.J. Tucker,11014500,LA Clippers,141
Reggie Bullock Jr.,11014080,Houston Rockets,142
Maxi Kleber,11000000,Dallas Mavericks,143
Joe Ingles,11000000,Orlando Magic,143
Donte DiVincenzo,10960000,New York Knicks,145
Ivica Zubac,10933333,LA Clippers,146
LaMelo Ball,10900635,Charlotte Hornets,147
Brandon Miller,10880400,Charlotte Hornets,148
Terance Mann,10576923,LA Clippers,149
Matisse Thybulle,10500000,Portland Trail Blazers,150
Gabe Vincent,10500000,Los Angeles Lakers,150
Alec Burks,10489600,Detroit Pistons,152
Chet Holmgren,10386000,Oklahoma City Thunder,153
Larry Nance Jr.,10375000,New Orleans Pelicans,154
Landry Shamet,10250000,Washington Wizards,155
Al Horford,10000000,Boston Celtics,156
Malik Monk,9945830,Sacramento Kings,157
Tre Jones,9895833,San Antonio Spurs,158
Jalen Green,9891480,Houston Rockets,159
Patrick Williams,9835881,Chicago Bulls,160
Monte Morris,9800926,Detroit Pistons,161
Scoot Henderson,9770880,Portland Trail Blazers,162
Nic Claxton,9625000,Brooklyn Nets,163
Jeff Green,9600000,Houston Rockets,164
Royce O'Neale,9500000,Brooklyn Nets,165
Alex Caruso,9460000,Chicago Bulls,166
Victor Oladipo,9450000,Houston Rockets,167
Pat Connaughton,9423869,Milwaukee Bucks,168
Jabari Smith Jr.,9326520,Houston Rockets,169
Isaiah Hartenstein,9245121,New York Knicks,170
Kyle Anderson,9219512,Minnesota Timberwolves,171
Anthony Edwards,9219512,Minnesota Timberwolves,171
Daniel Theis,9108387,LA Clippers,173
Grayson Allen,8925000,Phoenix Suns,174
Isaac Okoro,8920795,Cleveland Cavaliers,175
Evan Mobley,8882760,Cleveland Cavaliers,176
Amen Thompson,8809320,Houston Rockets,177
